dataType,accelX,accelY,accelZ
0,17.12,-978.39,33.40
0,17.12,-978.39,34.60
0,17.00,-978.75,31.72
0,16.28,-978.27,34.72
0,16.88,-978.87,33.52
0,15.08,-978.99,33.52
0,17.00,-979.35,32.56
0,17.24,-978.99,33.40
0,16.64,-978.39,35.31
0,17.36,-979.95,33.16
0,19.03,-979.23,33.16
0,17.96,-976.36,30.29
0,19.87,-978.63,36.99
0,15.44,-978.63,34.00
0,17.72,-978.39,33.88
0,15.20,-979.23,33.88
0,18.08,-978.99,31.84
0,16.40,-979.83,34.72
0,17.00,-978.51,32.44
0,17.00,-979.59,32.44
0,15.68,-979.11,34.00
0,15.32,-975.16,31.24
0,18.56,-978.75,33.16
0,17.00,-978.87,31.72
0,17.12,-979.35,31.84
0,16.04,-977.55,34.12
0,17.96,-978.39,31.96
0,17.00,-978.51,32.20
0,17.24,-978.51,35.19
0,17.84,-977.79,33.04
0,16.76,-978.51,33.88
0,19.15,-979.83,33.40
0,17.12,-982.10,31.00
0,15.92,-978.39,31.84
0,19.27,-980.55,35.67
0,16.16,-978.03,33.76
0,20.95,-979.23,37.23
0,14.25,-980.19,33.76
0,22.98,-972.17,43.45
0,15.32,-960.79,36.51
0,21.79,-982.94,26.34
0,18.08,-979.35,33.88
0,14.60,-983.66,56.62
0,10.18,-981.50,19.27
0,28.25,-979.23,26.70
0,19.27,-984.26,34.84
0,13.41,-980.31,48.24
0,27.29,-981.74,23.34
0,31.36,-977.19,28.25
0,17.84,-980.78,54.23
0,10.18,-983.90,8.14
0,11.13,-960.31,16.76
0,27.05,-978.03,45.61
0,14.13,-977.07,38.19
0,10.06,-981.38,30.53
0,22.27,-979.83,25.98
0,13.17,-977.31,35.31
0,17.48,-980.07,40.94
0,21.67,-978.63,28.85
0,17.48,-978.87,30.41
0,14.25,-977.67,38.55
0,16.04,-978.15,34.72
0,18.79,-979.71,32.68
0,18.67,-979.95,32.56
0,17.60,-978.87,36.27
0,15.56,-979.71,36.75
0,19.75,-978.63,30.29
0,17.96,-978.63,32.20
0,16.04,-978.63,37.35
0,18.08,-979.23,35.19
0,16.88,-978.51,32.56
0,18.20,-978.99,33.28
0,16.52,-978.63,34.48
0,16.04,-977.67,35.55
0,17.60,-978.75,33.52
0,17.72,-978.87,32.20
0,17.24,-979.83,34.60
0,17.24,-978.75,34.84
0,18.20,-979.59,32.92
0,17.36,-977.91,34.00
0,16.76,-978.15,34.48
0,17.48,-979.11,34.24
0,17.72,-978.39,33.16
0,18.56,-978.15,33.88
0,17.12,-978.51,34.84
0,17.12,-980.07,34.96
0,18.32,-978.87,33.40
0,16.76,-979.11,33.40
0,16.76,-976.71,34.00
